sampno,chhwgt,cexphhwgt,hctfip
7087190,0.075698953,16.52156158,111
7087250,0.970603277,380.0089489,37
7087314,1.234032273,483.1462227,37
7087346,0.555929783,217.6566856,37
7087355,1.000473494,391.7036857,37
7087437,0.916491483,358.8231909,37
7087478,0.449246649,175.8882862,37
7087533,0.834577372,326.7523172,37
7087599,1.133556349,443.8080592,37
7087763,0.843047026,330.068342,37
7087820,1.43302497,561.0555061,37
7087852,1.437587566,562.841846,37
7087888,1.152318798,451.1539016,37
7087918,0.702798111,275.1583246,37
7087919,0.880784029,344.8430694,37
7087920,0.293105288,114.7560855,37
7087992,1.17271428,459.1391061,37
7088004,1.463515565,572.9931322,37
7088083,1.330599961,520.9542402,37
7088109,1.177112953,460.8612672,37
7088362,1.03474609,405.1220342,37
7088802,1.133556349,443.8080592,37
7089068,0.975190528,381.8049418,37
7089077,0.545765295,213.6771027,37
7089110,1.052535765,412.0870178,37
7089172,1.28795041,504.2561602,37
7089282,0.835003151,326.9190176,37
7089320,0.834577372,326.7523172,37
7089456,1.107096071,433.4483763,37
7089471,1.055060224,413.0753896,37
7089495,0.947152599,370.8275791,37
7089579,1.440153365,563.846403,37
7089651,0.409301591,160.2490649,37
7089702,0.33105292,129.6132779,37
7089704,0.478018597,187.1530306,37
7089852,0.674211765,263.9662469,37
7089881,1.375811766,538.6554893,37
7089895,1.012653553,396.4724018,37
7090049,0.916491483,358.8231909,37
7090088,0.82882607,324.5005774,37
7090248,0.715974145,280.3169829,37
7090284,0.536463771,210.0353858,37
7090287,0.480617346,188.1704882,37
7090290,0.875482797,342.7675398,37
7090357,0.970603277,380.0089489,37
7090405,1.09150656,427.3447973,37
7090458,1.17271428,459.1391061,37
7090482,1.191656316,466.55526,37
7090489,0.649263967,254.1987273,37
7090558,0.835003151,326.9190176,37
7090584,1.17271428,459.1391061,37
7090586,1.133556349,443.8080592,37
7090604,1.133556349,443.8080592,37
7090673,0.863407279,338.0397536,37
7090693,1.133556349,443.8080592,37
7090710,1.133556349,443.8080592,37
7090719,1.381306094,540.8066194,37
7090886,0.497219944,194.6707093,37
7090903,0.668835216,261.8612294,37
7090926,0.539906508,211.3832803,37
7091182,1.538527458,602.361661,37
7091381,0.529064336,207.1383715,37
7091479,0.631885096,247.3945812,37
7091480,1.012653553,396.4724018,37
7091574,1.247617128,488.464942,37
7091623,1.49040221,583.5197458,37
7091696,1.253129591,490.6231724,37
7091911,1.381306094,540.8066194,37
7091981,0.612847934,239.9411838,37
7091994,1.191656316,466.55526,37
7092012,0.661436012,258.9643057,37
7092088,0.975190528,381.8049418,37
7092144,1.43302497,561.0555061,37
7092155,0.811438779,317.6931346,37
7092263,0.227883147,79.76914844,71
7092275,0.512218472,179.299048,71
7092327,0.873941724,305.9181339,71
7092411,0.74890447,262.1495822,71
7092424,1.765025691,617.8368085,71
7092425,1.407852349,492.8103916,71
7092468,0.772316549,270.3448422,71
7092484,1.183961565,414.4387464,71
7092543,1.43302497,561.0555061,37
7092777,1.168435,457.4636896,37
7092800,0.576883476,225.8604402,37
7092845,1.116232938,437.0256268,37
