sampno,vehno,trip,startplace,endplace,startgpsplaceid,endgpsplaceid,newgpslist
1138010,1,4.0,REDACTED,REDACTED,,,
1139416,1,1.0,REDACTED,REDACTED,1.0,3.0,2
1139416,1,2.0,REDACTED,REDACTED,3.0,4.0,
1139416,1,3.0,REDACTED,REDACTED,4.0,5.0,
1139416,1,4.0,REDACTED,REDACTED,5.0,6.0,
1139422,1,1.0,REDACTED,REDACTED,1.0,3.0,2
1139422,1,2.0,REDACTED,REDACTED,3.0,4.0,
1139422,1,3.0,REDACTED,REDACTED,4.0,5.0,
1139422,1,4.0,REDACTED,REDACTED,5.0,6.0,
1139818,1,1.0,REDACTED,REDACTED,1.0,2.0,
1139818,1,2.0,REDACTED,REDACTED,2.0,3.0,
1139818,1,3.0,REDACTED,REDACTED,3.0,4.0,
1139818,1,4.0,REDACTED,REDACTED,4.0,5.0,
1139818,1,5.0,REDACTED,REDACTED,5.0,6.0,
1139945,1,1.0,REDACTED,REDACTED,1.0,2.0,
1139945,1,2.0,REDACTED,REDACTED,2.0,3.0,
1139945,1,3.0,REDACTED,REDACTED,3.0,4.0,
1139945,1,4.0,REDACTED,REDACTED,4.0,5.0,
1139945,1,5.0,REDACTED,REDACTED,5.0,6.0,
1140735,1,1.0,REDACTED,REDACTED,1.0,4.0,"2, 3"
1140735,1,2.0,REDACTED,REDACTED,4.0,5.0,
1140735,1,2.5,REDACTED,REDACTED,5.0,7.0,6
1140735,1,3.0,REDACTED,REDACTED,7.0,8.0,
1140735,1,4.0,REDACTED,REDACTED,8.0,9.0,
1140735,1,5.0,REDACTED,REDACTED,9.0,10.0,
1140735,1,6.0,REDACTED,REDACTED,10.0,11.0,
1140735,1,7.0,REDACTED,REDACTED,11.0,12.0,
1140735,1,8.0,REDACTED,REDACTED,12.0,13.0,
1140735,1,999.0,REDACTED,REDACTED,13.0,15.0,"14, 15"
1140735,2,1.0,REDACTED,REDACTED,1.0,2.0,
1140735,2,2.0,REDACTED,REDACTED,2.0,3.0,
1140735,2,3.0,REDACTED,REDACTED,,,
1140735,2,4.0,REDACTED,REDACTED,,,
1140800,2,1.0,REDACTED,REDACTED,1.0,2.0,
1140800,2,2.0,REDACTED,REDACTED,2.0,3.0,
1140800,2,3.0,REDACTED,REDACTED,3.0,4.0,
1140800,2,4.0,REDACTED,REDACTED,4.0,5.0,
1140800,2,5.0,REDACTED,REDACTED,5.0,9.0,"6, 7, 8"
1140800,2,6.0,REDACTED,REDACTED,9.0,10.0,
1140800,2,7.0,REDACTED,REDACTED,10.0,,
1140800,2,8.0,REDACTED,REDACTED,,11.0,
1140800,2,9.0,REDACTED,REDACTED,11.0,12.0,
1140800,2,10.0,REDACTED,REDACTED,12.0,13.0,
1035198,1,2.0,REDACTED,REDACTED,2.0,3.0,
1035198,3,1.0,REDACTED,REDACTED,1.0,3.0,2
1035198,3,2.0,REDACTED,REDACTED,3.0,4.0,
1035198,3,2.5,REDACTED,REDACTED,4.0,6.0,5
1035198,3,3.0,REDACTED,REDACTED,6.0,7.0,
1035198,3,4.0,REDACTED,REDACTED,7.0,8.0,
1035198,3,5.0,REDACTED,REDACTED,8.0,11.0,"9, 10"
1037295,1,1.0,REDACTED,REDACTED,1.0,3.0,2
1037295,1,2.0,REDACTED,REDACTED,3.0,4.0,
1037751,1,1.0,REDACTED,REDACTED,1.0,2.0,
1037751,1,2.0,REDACTED,REDACTED,2.0,3.0,
1037751,1,3.0,REDACTED,REDACTED,3.0,4.0,
1044414,1,1.0,REDACTED,REDACTED,1.0,2.0,
1044414,1,2.0,REDACTED,REDACTED,2.0,3.0,
1044414,1,3.0,REDACTED,REDACTED,3.0,4.0,
1044414,1,4.0,REDACTED,REDACTED,4.0,5.0,
1044414,1,5.0,REDACTED,REDACTED,5.0,6.0,
1044414,1,6.0,REDACTED,REDACTED,6.0,7.0,
1044414,1,7.0,REDACTED,REDACTED,7.0,8.0,
1044414,1,8.0,REDACTED,REDACTED,8.0,9.0,
1044596,1,1.0,REDACTED,REDACTED,1.0,3.0,2
1044596,1,2.0,REDACTED,REDACTED,3.0,5.0,4
1044596,1,3.0,REDACTED,REDACTED,5.0,6.0,
1044596,1,4.0,REDACTED,REDACTED,6.0,7.0,
1044596,1,5.0,REDACTED,REDACTED,7.0,10.0,"8, 9"
1051649,1,1.0,REDACTED,REDACTED,1.0,2.0,
1051649,1,2.0,REDACTED,REDACTED,2.0,3.0,
1051649,2,1.0,REDACTED,REDACTED,1.0,3.0,2
1051649,2,2.0,REDACTED,REDACTED,3.0,4.0,
1051649,2,999.0,REDACTED,REDACTED,4.0,6.0,"5, 6"
1051649,3,1.0,REDACTED,REDACTED,1.0,2.0,
