sampno,vehno,diarytripsday1,gpstripsday1,gpstripsday2,gpstripsday3,gpstripsday4,gpstripsday5,gpstripsday6,gpstripsday7,totalgpstrips,geom
1135438,1,2,3,0,0,0,0,0,0,3,REDACTED
1135438,2,2,2,2,11,6,0,6,0,27,REDACTED
1135955,1,2,2,0,0,0,0,0,0,2,REDACTED
1135955,2,6,6,5,0,0,6,6,10,33,REDACTED
1137549,1,9,9,7,0,0,0,0,0,16,REDACTED
1137549,2,4,5,5,4,2,5,3,3,27,REDACTED
1137920,1,0,0,0,0,3,7,9,6,25,REDACTED
1138010,1,4,3,0,8,7,4,6,3,31,REDACTED
1138442,1,0,0,0,0,0,0,0,0,0,REDACTED
1139416,1,4,5,7,3,3,5,4,10,37,REDACTED
1139422,1,4,5,3,6,5,5,8,6,38,REDACTED
1139818,1,5,5,6,13,10,7,4,4,49,REDACTED
1139945,1,5,5,8,6,8,16,20,2,65,REDACTED
1140006,1,3,3,0,0,0,0,0,0,3,REDACTED
1140006,2,5,4,0,0,0,0,0,0,4,REDACTED
1140006,3,0,0,0,0,0,0,0,0,0,REDACTED
1140735,1,8,14,0,0,0,0,0,0,14,REDACTED
1140735,2,4,2,0,0,0,0,0,0,2,REDACTED
1140800,2,11,13,0,0,0,0,0,0,13,REDACTED
1141076,1,4,10,8,4,10,10,7,11,60,REDACTED
1141873,1,2,7,0,0,0,0,0,0,7,REDACTED
1142708,1,0,0,0,0,0,0,0,0,0,REDACTED
1142708,2,2,6,1,0,0,0,0,0,7,REDACTED
1143815,1,0,0,4,6,8,5,5,13,41,REDACTED
1143815,2,0,0,5,9,7,5,6,12,44,REDACTED
1144043,1,0,0,0,2,6,11,5,1,25,REDACTED
1144441,1,0,0,0,3,7,7,5,13,35,REDACTED
1144441,2,0,0,0,0,0,0,0,0,0,REDACTED
1144883,1,5,5,3,7,0,0,0,0,15,REDACTED
1144883,3,3,3,0,0,6,0,0,0,9,REDACTED
1146542,1,4,4,0,0,0,0,0,0,4,REDACTED
1146678,1,3,6,0,0,3,7,7,4,27,REDACTED
1146678,2,5,5,4,0,4,0,0,0,13,REDACTED
1146678,3,0,0,0,3,0,0,0,0,3,REDACTED
1147504,1,5,3,2,0,0,0,0,0,5,REDACTED
1147504,2,2,3,0,0,0,0,0,0,3,REDACTED
1147504,3,0,0,0,0,0,0,0,0,0,REDACTED
1149328,1,0,0,0,0,7,0,5,0,12,REDACTED
1149328,2,0,0,0,0,0,0,0,3,3,REDACTED
1150104,1,3,4,5,4,0,5,9,4,31,REDACTED
1150104,2,0,0,6,0,0,5,13,8,32,REDACTED
1150191,1,0,0,8,11,6,16,6,2,49,REDACTED
1150191,2,12,10,15,16,12,12,6,12,83,REDACTED
1151151,1,0,0,0,0,0,0,0,0,0,REDACTED
1151384,1,3,5,0,0,0,0,0,0,5,REDACTED
1151384,2,4,7,0,0,0,0,0,0,7,REDACTED
1151498,1,4,4,13,11,0,4,0,0,32,REDACTED
1151498,2,9,10,11,11,5,11,20,5,73,REDACTED
1151794,1,0,0,9,5,4,9,6,5,38,REDACTED
1151794,2,0,0,0,0,0,0,0,0,0,REDACTED
1152022,1,4,4,0,0,0,0,0,0,4,REDACTED
1152022,2,6,5,0,0,0,0,0,0,5,REDACTED
1152646,1,5,6,2,5,2,2,2,2,21,REDACTED
