sampno,perno,cperwgt,cexpperwgt,hctfip
1060069,3,2.58005219,661.3008883,7
1060292,1,2.136505081,916.0326475,65
1060292,2,1.587448371,680.6230167,65
1060292,3,2.431311624,1042.431794,65
1060292,4,1.143211015,490.1549836,65
1060292,5,1.142336814,489.7801673,65
1060437,1,0.41654684,273.3390465,73
1060437,2,0.41654684,273.3390465,73
1060749,1,0.563880715,167.1458449,85
1060782,1,0.659808116,94.26368879,103
1060782,2,1.658476261,236.9387194,103
1060914,1,1.380195762,635.7770868,37
1060914,2,0.392323552,180.7209757,37
1061035,1,0.983358925,452.9770993,37
1061064,1,0.401225737,41.22728776,5
1061378,1,0.135472779,40.82285872,19
1061378,2,0.100997798,30.43429718,19
1061444,1,0.411550976,123.6092235,89
1061444,2,0.363368043,109.1374925,89
1061742,1,0.058098159,15.12551417,95
1061742,2,0.063980835,16.65703449,95
1061742,3,0.06034267,15.7098596,95
1061831,1,0.66865939,168.138115,81
1061957,1,0.228472006,105.2439589,37
1061957,2,0.472968233,217.8693585,37
1061957,3,1.237404952,570.0015443,37
1062567,1,0.376541205,173.450953,37
1062567,2,0.205517825,94.67028363,37
1062567,3,1.382657083,636.910876,37
1062567,4,1.415736581,652.1487049,37
1062567,5,1.48284338,683.0609616,37
1062745,1,0.085692075,25.82212813,19
1062745,2,0.097997495,29.53019724,19
1062827,1,0.079747069,23.01290844,61
1062827,2,0.078512856,22.65674712,61
1063027,1,0.760902274,136.8164098,23
1063027,2,0.706477551,127.0304025,23
1063561,1,0.322112448,148.3787443,37
1063648,1,0.908001095,232.7324746,7
1063648,2,1.404950541,360.1070725,7
1063648,3,5.000000468,1281.565064,7
1063648,4,1.077284536,276.1220192,7
1063692,1,0.277127996,127.6569853,37
1063692,2,0.264690055,121.9275384,37
1063952,1,1.53088741,992.9376313,67
1064066,1,1.245831178,511.7266081,71
1064074,1,0.104389854,20.50568203,107
1064074,2,0.1347045,26.46049897,107
1064157,1,0.497982063,326.7770378,73
1064157,2,0.490083416,321.5939262,73
1064458,1,0.678817618,203.8826864,89
1064458,2,0.417465254,125.3855752,89
1064494,1,0.563354749,166.9899376,85
1064494,2,0.727291465,215.5841531,85
1064644,1,0.646238098,162.5001566,81
1064644,2,0.646238098,162.5001566,81
1064644,3,1.167414448,293.5528426,81
1064843,1,0.170373788,33.46714808,107
1064843,2,0.118553664,23.28793112,107
1064939,1,0.208579492,4.380169299,3
1064939,2,0.102761309,2.15798747,3
1065239,1,0.665488865,234.6884357,1
1065239,2,0.669973327,236.2699069,1
1065239,3,0.731932096,258.1200192,1
1065343,1,0.19993693,92.09948482,37
1065343,2,0.209299427,96.41225084,37
1065589,1,0.460090085,136.3801667,85
1065589,2,1.05067743,311.4424063,85
1065623,1,0.170084887,79.34418237,59
1065623,2,0.370522464,172.8478199,59
1065778,1,0.683404887,268.1132622,77
1065850,1,0.10556358,21.02233265,29
1065856,1,0.53325865,219.036612,71
1065856,2,0.80269019,329.7059309,71
1065856,3,1.208421349,496.3604771,71
1065904,1,0.069650306,16.30426923,41
1065904,2,0.097201857,22.75374425,41
1065929,1,0.434248887,153.1403415,1
1065929,2,0.437139987,154.1599042,1
1066319,1,0.633081691,147.764893,97
1066319,2,0.61252984,142.9679733,97
1066337,1,0.401090937,118.8916054,85
1066337,2,0.388927677,115.2861651,85
1066375,1,0.943465955,611.9345192,67
1066375,2,0.929792858,603.0661123,67
1066380,1,0.582861279,268.4907869,37
1066380,2,0.206821878,95.27098579,37
1066541,1,2.396712427,845.2142778,1
1066541,2,2.413125915,851.0025879,1
1066541,3,1.963104642,692.3000246,1
1066658,1,0.064169883,13.43069418,45
1066658,2,0.066193759,13.8542896,45
1066662,1,0.781541509,512.8494337,73
1066671,1,0.458760508,188.4364134,71
1066671,2,1.971690511,809.8741751,71
