sampno,home_county_id,mpo_id,vehicle_count,vehicle_count_gps,travel_day1,gps_trips_td,gps_trips_27,diary_trips_td,gps_complete,diary_complete,gps_diary_complete,deldateid,nsdeliverable,geom
1718977,6037,3,2,2,2012-08-08 00:00:00,14,76,15,1,1,1,3,1,REDACTED
1726361,6067,15,2,2,2012-06-04 00:00:00,4,3,3,1,1,1,2,1,REDACTED
1735179,6059,2,2,2,2012-04-27 00:00:00,3,57,3,1,1,1,2,1,REDACTED
1743264,6001,5,4,2,2012-06-05 00:00:00,8,21,4,1,1,1,3,1,REDACTED
1743805,6075,11,1,1,2012-09-10 00:00:00,2,29,2,1,1,1,3,1,REDACTED
1747105,6109,29,2,2,2012-07-03 00:00:00,1,24,2,1,1,1,3,1,REDACTED
1764495,6037,3,1,1,2012-06-08 00:00:00,7,62,7,1,1,1,5,1,REDACTED
1766425,6067,15,2,1,2012-06-20 00:00:00,0,0,0,1,1,1,3,1,REDACTED
1768608,6037,3,2,2,2012-06-18 00:00:00,7,5,7,1,1,1,4,1,REDACTED
1771038,6047,24,2,2,2012-06-16 00:00:00,0,66,0,1,1,1,3,1,REDACTED
1817256,6045,21,2,2,2012-07-13 00:00:00,5,17,4,1,1,1,3,1,REDACTED
1843302,6063,17,2,2,2012-07-19 00:00:00,14,49,12,1,1,1,3,1,REDACTED
1898041,6037,3,3,3,2012-07-18 00:00:00,24,70,13,1,1,1,3,1,REDACTED
1987680,6097,8,3,3,2012-07-21 00:00:00,10,73,10,1,1,1,3,1,REDACTED
2060835,6037,3,1,1,2012-08-22 00:00:00,0,20,0,1,1,1,3,1,REDACTED
2061644,6037,3,2,2,2012-06-26 00:00:00,6,47,4,1,1,1,3,1,REDACTED
2076915,6037,3,2,2,2012-07-16 00:00:00,14,10,10,1,1,1,3,1,REDACTED
2087385,6037,3,1,1,2012-11-01 00:00:00,4,19,3,1,1,1,4,1,REDACTED
2089020,6037,3,3,3,2012-07-28 00:00:00,2,45,2,1,1,1,3,1,REDACTED
2103754,6037,3,2,2,2012-09-07 00:00:00,13,83,9,1,1,1,5,1,REDACTED
2105161,6037,3,1,1,2012-07-22 00:00:00,2,25,2,1,1,1,3,1,REDACTED
